No.,Time,,Time 1,Time 2,Delay,,Rata2 Delay,,Delay 1,Delay 2,Var delay,,Total Var ,Jitter
298,2.805929,,2.805929,2.821393,0.015464,,,,0.015464,0.003573,-0.011891,,,
299,2.821393,,2.821393,2.824966,0.003573,,,,0.003573,0.013277,0.009704,,,
300,2.824966,,2.824966,2.838243,0.013277,,,,0.013277,0.007479,-0.005798,,,
301,2.838243,,2.838243,2.845722,0.007479,,,,0.007479,0.013785,0.006306,,,
302,2.845722,,2.845722,2.859507,0.013785,,,,0.013785,0.005853,-0.007932,,,
303,2.859507,,2.859507,2.86536,0.005853,,,,0.005853,0.013118,0.007265,,,
304,2.86536,,2.86536,2.878478,0.013118,,,,0.013118,0.007377,-0.005741,,,
305,2.878478,,2.878478,2.885855,0.007377,,,,0.007377,0.015179,0.007802,,,
306,2.885855,,2.885855,2.901034,0.015179,,,,0.015179,0.004304,-0.010875,,,
307,2.901034,,2.901034,2.905338,0.004304,,,,0.004304,0.013201,0.008897,,,
