No.,Time,,Time 1,Time 2,Delay,,Delay 1,Delay 2,Var delay,,,Total Delay,,Rata2 Delay
265,3.909683,,3.909683,3.909945,0.000262,,0.000262,0.000285,0.000023,,,,,
266,3.909945,,3.909945,3.91023,0.000285,,0.000285,0.007806,0.007521,,,,,
267,3.91023,,3.91023,3.918036,0.007806,,0.007806,0.001205,-0.006601,,,,,
268,3.918036,,3.918036,3.919241,0.001205,,0.001205,0.000489,-0.000716,,,,,
269,3.919241,,3.919241,3.91973,0.000489,,0.000489,0.004908,0.004419,,,,,
270,3.91973,,3.91973,3.924638,0.004908,,0.004908,0.01101,0.006102,,,,,
271,3.924638,,3.924638,3.935648,0.01101,,0.01101,0,-0.01101,,,,,
272,3.935648,,3.935648,3.935648,0,,0,0.000624,0.000624,,,,,
273,3.935648,,3.935648,3.936272,0.000624,,0.000624,0.001834,0.00121,,,,,
274,3.936272,,3.936272,3.938106,0.001834,,0.001834,0.001953,0.000119,,,,,
275,3.938106,,3.938106,3.940059,0.001953,,0.001953,0,-0.001953,,,,,
276,3.940059,,3.940059,3.940059,0,,0,0.000642,0.000642,,,,,
277,3.940059,,3.940059,3.940701,0.000642,,0.000642,0.002404,0.001762,,,,,
278,3.940701,,3.940701,3.943105,0.002404,,0.002404,0.005451,0.003047,,,,,
279,3.943105,,3.943105,3.948556,0.005451,,0.005451,0,-0.005451,,,,,
280,3.948556,,3.948556,3.948556,0,,0,0,0,,,,,
281,3.948556,,3.948556,3.948556,0,,0,0,0,,,,,
282,3.948556,,3.948556,3.948556,0,,0,0.000333,0.000333,,,,,
283,3.948556,,3.948556,3.948889,0.000333,,0.000333,0,-0.000333,,,,,
284,3.948889,,3.948889,3.948889,0,,0,0.000449,0.000449,,,,,
285,3.948889,,3.948889,3.949338,0.000449,,0.000449,0.002471,0.002022,,,,,
286,3.949338,,3.949338,3.951809,0.002471,,0.002471,0.002056,-0.000415,,,,,
287,3.951809,,3.951809,3.953865,0.002056,,0.002056,0.000332,-0.001724,,,,,
288,3.953865,,3.953865,3.954197,0.000332,,0.000332,0.000343,0.000011,,,,,
289,3.954197,,3.954197,3.95454,0.000343,,0.000343,0.00141,0.001067,,,,,
290,3.95454,,3.95454,3.95595,0.00141,,0.00141,0,-0.00141,,,,,
291,3.95595,,3.95595,3.95595,0,,0,0.000689,0.000689,,,,,
292,3.95595,,3.95595,3.956639,0.000689,,0.000689,0.000104,-0.000585,,,,,
293,3.956639,,3.956639,3.956743,0.000104,,0.000104,0.014767,0.014663,,,,,
294,3.956743,,3.956743,3.97151,0.014767,,0.014767,0,-0.014767,,,,,
295,3.97151,,3.97151,3.97151,0,,0,0,0,,,,,
296,3.97151,,3.97151,3.97151,0,,0,0,0,,,,,
297,3.97151,,3.97151,3.97151,0,,0,0.000557,0.000557,,,,,
298,3.97151,,3.97151,3.972067,0.000557,,0.000557,0.005633,0.005076,,,,,
299,3.972067,,3.972067,3.9777,0.005633,,0.005633,0.003779,-0.001854,,,,,
300,3.9777,,3.9777,3.981479,0.003779,,0.003779,0,-0.003779,,,,,
301,3.981479,,3.981479,3.981479,0,,0,0,0,,,,,
302,3.981479,,3.981479,3.981479,0,,0,0.000525,0.000525,,,,,
303,3.981479,,3.981479,3.982004,0.000525,,0.000525,0.004631,0.004106,,,,,
304,3.982004,,3.982004,3.986635,0.004631,,0.004631,0.000553,-0.004078,,,,,
305,3.986635,,3.986635,3.987188,0.000553,,0.000553,0.000355,-0.000198,,,,,
306,3.987188,,3.987188,3.987543,0.000355,,0.000355,0.008983,0.008628,,,,,
307,3.987543,,3.987543,3.996526,0.008983,,0.008983,0.00563,-0.003353,,,,,
308,3.996526,,3.996526,4.002156,0.00563,,0.00563,0.000709,-0.004921,,,,,
309,4.002156,,4.002156,4.002865,0.000709,,0.000709,0.000486,-0.000223,,,,,
310,4.002865,,4.002865,4.003351,0.000486,,0.000486,0,-0.000486,,,,,
311,4.003351,,4.003351,4.003351,0,,0,0,0,,,,,
312,4.003351,,4.003351,4.003351,0,,0,0,0,,,,,
313,4.003351,,4.003351,4.003351,0,,0,0,0,,,,,
314,4.003351,,4.003351,4.003351,0,,0,0,0,,,,,
315,4.003351,,4.003351,4.003351,0,,0,0.00019,0.00019,,,,,
316,4.003351,,4.003351,4.003541,0.00019,,0.00019,0.000575,0.000385,,,,,
317,4.003541,,4.003541,4.004116,0.000575,,0.000575,0.004154,0.003579,,,,,
